v,re,s,ra,c_d
1.0,1.8,3.2,0.6,0.1947743030725073
3.0,2.0,2.4,0.6,0.14600453841256175
2.0,0.8,2.4,0.6,0.14357843848294474
1.0,0.2,2.0,0.8,0.18694011805282415
1.8,0.4,3.8,0.6,0.187017953406398
1.8,1.4,1.8,0.6,0.11570963544813775
2.2,1.6,3.4,0.6,0.19248291257097905
2.0,1.2,1.6,0.8,0.16818974581776902
1.0,2.0,2.2,0.6,0.14725024737900602
2.6,1.6,3.2,0.6,0.18129523027086453
1.0,2.0,1.2,0.8,0.13420867660216168
2.8,1.6,1.0,1.2,0.1854653380349368
1.8,1.4,1.2,1.0,0.18411697284762546
1.6,1.6,1.6,0.6,0.10356067128450347
2.8,0.6,1.2,0.8,0.10558964862300732
2.6,2.0,2.0,0.6,0.12862995803735594
2.2,0.4,1.8,0.6,0.10424964812745688
1.8,2.0,1.6,0.8,0.17426325868854914
1.4,0.4,1.6,0.8,0.1586686519930424
3.0,0.4,2.4,0.8,0.17871537240897414
2.4,1.8,3.0,0.6,0.1767580916238807
2.0,1.0,1.0,1.2,0.18963713834299348
2.2,0.2,2.4,0.6,0.116999821264819
2.8,1.2,1.2,0.8,0.11560038347022425
2.6,1.6,1.0,1.2,0.1892024220043174
3.0,0.4,2.6,0.6,0.12448223526370712
3.0,0.2,1.6,1.2,0.1793612515901692
2.2,0.4,1.2,0.8,0.10995555739854262
1.8,1.8,1.4,0.8,0.1526784564395571
2.6,0.6,3.0,0.6,0.1556693326711955
2.4,0.8,1.4,1.4,0.2969660425963949
3.0,1.2,2.8,0.8,0.23717550798388534
1.8,1.0,1.0,1.6,0.2849469048146269
2.8,0.4,3.0,1.0,0.2871113695453048
2.4,0.6,3.8,0.8,0.27457304616225264
2.2,0.2,1.4,1.4,0.2210212088442932
2.8,2.0,1.8,1.0,0.2565572419648834
2.4,0.2,2.0,1.4,0.2847520256958508
2.2,0.4,1.0,2.0,0.2935935823734499
2.4,0.6,2.0,1.0,0.24371279191279105
2.6,0.4,2.6,1.0,0.268275464375509
1.0,1.2,3.2,0.8,0.2924748153771408
2.0,0.2,2.4,1.2,0.2952338211153105
1.0,0.6,1.0,1.6,0.2905064938242405
1.6,0.4,3.2,0.8,0.25674631149125704
1.2,1.0,3.0,0.8,0.27516268118659976
2.4,1.6,1.8,1.0,0.258269732108474
2.4,1.4,2.6,0.8,0.2394362276943031
2.6,1.8,2.0,1.0,0.2797632361094325
1.0,0.8,3.2,0.8,0.28584130725949264
2.4,1.8,2.4,0.8,0.233328020921505
2.0,1.4,1.2,1.2,0.2377166293804528
1.6,0.4,3.8,0.8,0.2836940836467689
2.6,0.2,2.6,1.2,0.282053244131294
2.8,1.0,2.2,1.0,0.2718568265848413
2.4,1.0,3.2,0.8,0.2645530076571211
2.2,1.0,1.0,1.4,0.23000278863720006
1.0,1.6,2.0,1.0,0.2988255902274735
2.8,1.6,1.2,1.2,0.2266455952484505
2.2,0.8,1.0,1.4,0.22261541965738804
1.2,1.6,2.8,0.8,0.2710619824728127
1.8,0.8,1.6,1.0,0.22508130000238505
1.2,1.0,1.0,1.2,0.20182555678769015
2.0,0.6,1.0,1.8,0.2944233521031746
1.4,0.6,2.0,1.0,0.2692246417215173
1.2,1.0,3.4,0.8,0.29615218647367564
1.8,0.8,1.0,1.6,0.2767588632006087
2.0,2.0,3.6,0.6,0.20356143386400072
1.8,1.4,1.4,1.2,0.27709462357042136
3.0,0.2,2.2,1.4,0.2737560629840919
1.0,0.2,2.6,0.8,0.2253372618394011
2.6,0.2,2.4,1.2,0.2671336980881509
1.6,1.8,3.0,0.8,0.2794860286817127
3.0,2.0,2.4,0.8,0.22820171572379366
1.8,2.0,4.0,0.6,0.21857359161138715
1.0,2.0,2.2,0.8,0.2349054384265422
2.8,1.4,4.0,0.6,0.2017219113409789
2.8,0.8,1.6,1.0,0.20595007333130216
2.2,0.4,2.0,1.2,0.29441538364514114
1.4,1.2,2.6,0.8,0.2516640616538986
1.8,1.4,2.4,0.8,0.23553714093721725
3.0,2.0,2.0,1.0,0.2751999836968513
1.6,0.8,1.2,1.4,0.2840686153992483
1.4,1.4,1.0,1.4,0.25565233097839274
2.4,1.2,1.2,1.2,0.2262815222934604
1.8,1.2,2.0,0.8,0.20466123576912568
2.0,0.6,1.4,1.2,0.2436083587170009
1.6,0.8,1.0,1.4,0.23664996656248244
2.0,1.6,3.0,0.8,0.27224563770355786
1.4,1.4,3.6,0.6,0.2048178561153801
2.0,0.6,1.6,1.0,0.21434795234122805
1.8,1.0,1.4,1.0,0.20637381960277024
1.2,1.6,3.4,0.6,0.2001970558303685
3.0,0.2,3.6,1.0,0.26111189097140397
1.6,0.4,3.6,0.8,0.2751661085036485
1.8,0.6,1.2,1.4,0.26624688903947963
2.2,1.8,2.0,0.8,0.2055891103017666
2.2,0.4,2.4,1.0,0.2668340539782921
2.4,1.0,1.2,1.4,0.2698231966125389
2.0,1.0,1.0,1.4,0.2349970565582292
2.0,1.2,3.2,0.8,0.2752877051627953
2.4,1.2,1.4,1.0,0.20278407470430265
2.2,0.2,1.8,1.2,0.2313463718617344
1.6,0.4,1.6,1.2,0.26906885953094284
3.0,2.0,4.0,0.6,0.2095119270229153
1.6,1.8,1.4,1.2,0.28612271441499243
2.6,0.6,2.0,1.0,0.23897521665370186
2.0,1.0,1.6,1.0,0.2275583404488948
3.0,0.8,2.4,1.0,0.2731158199636173
1.4,1.2,4.0,0.6,0.21622577447350816
3.0,0.8,1.4,1.4,0.2781219028387567
2.2,0.2,1.4,1.8,0.2848881478727829
1.2,0.2,1.4,1.4,0.2726482216213855
1.8,1.6,3.8,0.8,0.29711010038504826
2.4,0.2,1.8,1.2,0.22280738991949184
1.6,1.4,1.0,1.4,0.2537312804949945
1.8,1.6,2.0,1.0,0.2883039858708818
3.0,2.0,2.8,0.8,0.2539011715514417
1.8,1.0,1.2,1.2,0.2319346723325146
2.4,1.6,4.0,0.6,0.21067138093686488
1.8,0.8,1.2,1.4,0.2778871442726201
2.6,0.4,2.8,1.0,0.2816116467675151
2.8,0.2,2.6,1.0,0.22145928553545227
2.4,0.2,2.6,1.0,0.2373471780459661
1.2,0.8,1.2,1.2,0.2381175247590813
2.6,1.6,1.6,1.2,0.2960910247180454
1.8,1.8,2.0,0.8,0.2100451816131401
1.6,0.4,3.0,0.8,0.24676189002867666
2.0,1.4,1.2,1.4,0.29245374309517075
1.4,1.8,1.0,1.4,0.2594334108142793
1.6,0.2,2.0,1.4,0.3292521249597641
1.0,1.0,2.4,1.0,0.3281265821983074
1.4,1.0,3.4,1.0,0.3915517431440431
1.0,0.4,1.8,1.4,0.3843882369453438
2.6,0.2,4.0,1.2,0.3654335071002405
2.4,0.2,2.2,1.4,0.3052930567518935
1.0,0.4,2.8,1.0,0.337732575145596
2.4,0.2,3.0,1.4,0.3727056133400637
1.2,1.0,1.6,1.4,0.3801322009085969
1.2,1.4,1.6,1.4,0.3889973303670674
1.4,0.4,2.0,1.2,0.32561006497048256
1.8,1.6,1.2,1.6,0.3547944351426498
2.2,1.0,1.4,1.4,0.31277203201894976
2.8,1.2,1.6,1.6,0.3960942082678675
1.8,0.6,1.8,1.4,0.36795610181680144
1.2,1.4,1.6,1.2,0.31739959662320183
2.8,0.6,1.2,2.0,0.346129705838098
2.2,1.6,1.0,2.0,0.3837891746727298
2.2,1.0,1.6,1.4,0.3469924364575042
2.2,2.0,1.0,2.0,0.3918332260272092
2.2,2.0,3.8,0.8,0.3102598987598613
2.0,1.8,1.0,2.0,0.3919838826078501
1.0,1.4,2.2,1.0,0.3164398170266654
2.6,0.8,1.2,1.8,0.3431913613726292
1.0,0.6,3.0,1.0,0.363339384846635
2.0,0.8,1.4,1.6,0.3634296368420705
2.8,1.2,1.2,1.8,0.3623180501056488
3.0,1.6,2.8,1.2,0.3753665599447637
1.0,1.2,1.8,1.2,0.3472975849450006
1.2,2.0,2.0,1.2,0.3657182125270131
3.0,1.2,2.6,1.0,0.3052015075207017
2.4,1.6,3.6,1.0,0.3772515245592219
1.8,1.0,2.2,1.2,0.3708830293180284
2.2,2.0,2.6,1.0,0.3384087613347131
2.2,2.0,1.0,1.8,0.34610368614809023
2.4,1.6,2.8,1.2,0.3762336042616923
1.6,2.0,1.8,1.2,0.33220524930790235
1.0,0.8,2.2,1.0,0.3055544136677064
1.4,0.4,1.2,1.8,0.3520114969786599
