v,re,s,ra,a_s
1.0,1.4,3.2,0.6,0.07300796163992143
1.0,0.8,1.2,1.8,0.08306489385808659
1.0,1.0,2.0,1.8,0.07683292859896274
1.0,0.6,3.2,1.6,0.08844314555729868
1.0,0.8,3.6,0.8,0.08367196286876334
1.0,0.8,3.8,2.0,0.0816944284246522
1.0,2.0,1.2,1.8,0.0565629387829037
1.0,1.2,3.2,0.8,0.0745477224247234
1.0,1.0,3.4,1.0,0.04869632582106773
1.0,0.6,3.6,0.8,0.08907137925277903
1.0,1.8,4.0,1.6,0.05499845118154738
1.0,0.6,1.8,1.4,0.0895524340721625
1.0,1.2,1.4,1.8,0.07232100390607782
1.0,0.6,3.6,1.4,0.08864403101719948
1.0,1.6,1.6,1.6,0.03669320318580637
1.0,1.4,1.6,0.4,0.08860586152346417
1.0,1.4,2.2,2.0,0.06442618667204346
1.0,1.6,3.2,2.0,0.0607401836662815
1.0,1.6,3.6,2.0,0.0602897091390276
1.0,1.6,1.2,1.2,0.06796348367235262
1.0,0.4,3.0,1.0,0.09492584934823416
1.0,0.8,2.8,2.0,0.08198998279370763
1.0,0.6,2.0,1.4,0.08943275894770998
1.0,2.0,4.0,0.6,0.05968930540954258
1.0,1.6,1.2,0.4,0.09042551032847662
1.0,1.8,3.0,1.2,0.003203101490726697
1.0,0.6,2.8,1.8,0.08830236224804874
1.2,0.8,1.0,1.0,0.17515228901951482
1.0,0.2,1.4,2.0,0.10092605696801886
1.2,2.0,4.0,0.8,0.10684834484962484
1.0,0.2,4.0,0.6,0.10112046432866048
1.2,0.6,1.6,1.8,0.17621735175117798
1.2,0.8,1.8,1.4,0.16948312799584975
1.2,1.2,2.4,0.8,0.16322482074281555
1.2,1.6,3.2,0.6,0.1559847519506092
1.2,1.0,3.4,1.4,0.12424935166610412
1.2,0.6,2.6,0.4,0.1808440744529072
1.2,0.6,2.2,1.8,0.17536845021479547
1.0,0.2,1.6,1.2,0.1012125948264192
1.2,1.2,2.6,0.8,0.16279104746795536
1.2,0.4,2.4,0.4,0.1858098482556983
1.4,1.4,3.2,1.2,0.14492365804220894
1.2,0.2,3.6,2.0,0.18729490973816806
1.2,1.4,1.6,0.8,0.1608277334549252
1.4,1.6,1.8,1.6,0.14160796699877282
1.2,1.0,3.6,1.6,0.16176670847222135
1.2,0.2,1.0,0.4,0.1890707726250216
1.2,0.4,1.6,1.8,0.1823710591291514
1.2,1.4,3.8,0.6,0.15942859065918236
1.2,1.6,4.0,1.0,0.11224180451281507
1.2,0.4,1.2,0.4,0.18676998414913085
1.4,2.0,3.2,1.4,0.1470938470027981
1.0,0.2,1.6,1.4,0.10105180056956167
1.2,0.2,1.2,1.4,0.18894608362934484
1.2,0.2,3.4,0.8,0.18821527444493769
1.4,1.6,3.4,1.0,0.18980247878466427
1.2,0.8,3.4,0.8,0.17083885347530253
1.2,1.8,2.8,0.4,0.15610425747558573
1.2,1.2,2.2,1.6,0.12004296836699628
1.0,0.2,3.8,0.8,0.10074588172501724
1.2,1.0,2.4,1.0,0.1656273975306199
1.2,0.6,4.0,0.8,0.17582164843310333
1.4,1.6,1.4,1.8,0.14534828226111055
1.2,0.8,1.6,0.4,0.18291072128254546
1.2,0.4,3.8,0.6,0.1834961566452088
1.2,2.0,3.6,0.6,0.14781222239278125
1.2,1.4,3.6,0.4,0.1611410825325789
1.2,2.0,1.6,0.4,0.16962870690614182
1.2,1.8,1.8,1.2,0.1485249776550796
1.2,1.4,3.0,2.0,0.15266734935766946
1.2,1.4,1.0,2.0,0.1599129201946464
1.2,0.2,2.6,1.8,0.1878693235250629
1.2,2.0,2.8,0.2,0.18045746789018166
1.0,0.2,3.2,1.2,0.100797271072285
1.2,0.6,1.4,0.8,0.17973307620756632
1.2,1.4,2.4,1.6,0.1153224979157687
1.4,2.0,2.6,1.8,0.17993190505691226
1.4,1.6,3.8,1.2,0.18912605095395335
1.0,0.2,1.8,2.0,0.10085563406682764
1.2,2.0,3.0,1.8,0.1382221508981459
1.2,1.4,2.8,1.2,0.11689848985973655
1.2,0.4,4.0,1.6,0.18132615539030547
1.4,2.0,1.4,2.0,0.13535143689029328
1.2,1.2,4.0,1.4,0.1187521404377274
1.2,1.2,1.2,0.2,0.1952182321099526
1.2,0.4,1.6,1.8,0.1823710591291514
1.2,0.8,3.8,0.2,0.1863647116225179
1.2,1.0,3.4,1.8,0.16172362338192053
1.2,0.4,2.6,1.8,0.18181716172827464
