r_strength,r_range,a_strength,a_range,c
35,2.0,20,2.6,6.3
35,2.0,20,2.6,6.4
35,2.0,20,2.6,6.5
35,2.0,20,2.6,6.6
35,2.0,20,2.6,6.7
35,2.0,20,2.6,6.8
35,2.0,20,2.6,6.9
35,2.0,20,2.6,7.0
35,2.0,20,2.6,7.1
35,2.0,20,2.6,7.2
35,2.0,20,2.6,7.3
35,2.0,20,2.6,7.4
35,2.0,20,2.6,7.5
35,2.0,20,2.6,7.6
35,2.0,20,2.6,7.7
35,2.0,20,2.6,7.8
35,2.0,20,2.6,7.9
35,2.0,20,2.6,8.0
35,2.0,20,2.6,8.1
35,2.0,20,2.6,8.2
35,2.0,20,2.6,8.3
35,2.0,20,2.6,8.4
35,2.0,20,2.6,8.5
35,2.0,20,2.6,8.6
35,2.0,20,2.6,8.7
35,2.0,20,2.6,8.8
35,2.0,20,2.6,8.9
35,2.0,20,2.6,9.0
35,2.0,20,2.6,9.1
35,2.0,20,2.6,9.2
35,2.0,20,2.6,9.3
35,2.0,20,2.6,9.4
35,2.0,20,2.6,9.5
35,2.0,20,2.6,9.6
35,2.0,20,2.6,9.7
35,2.0,20,2.6,9.8
35,2.0,20,2.6,9.9
35,2.0,20,2.6,10.0
35,2.0,20,2.6,10.1
35,2.0,20,2.6,10.2
35,2.0,20,2.6,10.3
35,2.0,20,2.6,10.4
35,2.0,20,2.6,10.5
35,2.0,20,2.6,10.6
35,2.0,20,2.6,10.7
35,2.0,20,2.6,10.8
35,2.0,20,2.6,10.9
35,2.0,20,2.6,11.0
35,2.0,20,2.6,11.1
35,2.0,20,2.6,11.2
35,2.0,20,2.6,11.3
35,2.0,20,2.6,11.4
35,2.0,20,2.6,11.5
35,2.0,20,2.6,11.6
35,2.0,20,2.6,11.7
35,2.0,20,2.6,11.8
35,2.0,20,2.6,11.9
35,2.0,20,2.6,12.0
35,2.0,20,2.6,12.1
35,2.0,20,2.6,12.2
35,2.0,20,2.6,12.3
35,2.0,20,2.6,12.4
35,2.0,20,2.6,12.5
35,2.0,20,2.6,12.6
35,2.0,20,2.6,12.7
35,2.0,20,2.6,12.8
35,2.0,20,2.6,12.9
35,2.0,20,2.6,13.0
35,2.0,20,2.6,13.1
35,2.0,20,2.6,13.2
35,2.0,20,2.6,13.3
35,2.0,20,2.6,13.4
35,2.0,20,2.6,13.5
35,2.0,20,2.6,13.6
35,2.0,20,2.6,13.7
35,2.0,20,2.6,13.8
35,2.0,20,2.6,13.9
35,2.0,20,2.6,14.0
35,2.0,20,2.6,14.1
35,2.0,20,2.6,14.2
35,2.0,20,2.6,14.3
35,2.0,20,2.6,14.4
35,2.0,20,2.6,14.5
35,2.0,20,2.6,14.6
35,2.0,20,2.6,14.7
35,2.0,20,2.6,14.8
35,2.0,20,2.6,14.9
35,2.0,20,2.6,15.0
35,2.0,20,2.6,15.1
35,2.0,20,2.6,15.2
35,2.0,20,2.6,15.3
35,2.0,20,2.6,15.4
35,2.0,20,2.6,15.5
35,2.0,20,2.6,15.6
35,2.0,20,2.6,15.7
35,2.0,20,2.6,15.8
35,2.0,20,2.6,15.9
35,2.0,20,2.6,16.0
35,2.0,20,2.6,16.1
35,2.0,20,2.6,16.2
35,2.0,20,2.6,16.3
35,2.0,20,2.6,16.4
35,2.0,20,2.6,16.5
35,2.0,20,2.6,16.6
35,2.0,20,2.6,16.7
35,2.0,20,2.6,16.8
35,2.0,20,2.6,16.9
35,2.0,20,2.6,17.0
35,2.0,20,2.6,17.1
35,2.0,20,2.6,17.2
35,2.0,20,2.6,17.3
35,2.0,20,2.6,17.4
35,2.0,20,2.6,17.5
35,2.0,20,2.6,17.6
35,2.0,20,2.6,17.7
35,2.0,20,2.6,17.8
35,2.0,20,2.6,17.9
35,2.0,20,2.6,18.0
35,2.0,20,2.6,18.1
35,2.0,20,2.6,18.2
35,2.0,20,2.6,18.3
35,2.0,20,2.6,18.4
35,2.0,20,2.6,18.5
35,2.0,20,2.6,18.6
35,2.0,20,2.6,18.7
35,2.0,20,2.6,18.8
35,2.0,20,2.6,18.9
35,2.0,20,2.6,19.0
35,2.0,20,2.6,19.1
35,2.0,20,2.6,19.2
35,2.0,20,2.6,19.3
35,2.0,20,2.6,19.4
35,2.0,20,2.6,19.5
35,2.0,20,2.6,19.6
35,2.0,20,2.6,19.7
35,2.0,20,2.6,19.8
35,2.0,20,2.6,19.9
35,2.0,20,2.6,20.0
35,2.0,20,2.6,20.1
35,2.0,20,2.6,20.2
35,2.0,20,2.6,20.3
35,2.0,20,2.6,20.4
35,2.0,20,2.6,20.5
35,2.0,20,2.6,20.6
35,2.0,20,2.6,20.7
35,2.0,20,2.6,20.8
35,2.0,20,2.6,20.9
35,2.0,20,2.6,21.0
35,2.0,20,2.6,21.1
35,2.0,20,2.6,21.2
35,2.0,20,2.6,21.3
35,2.0,20,2.6,21.4
35,2.0,20,2.6,21.5
35,2.0,20,2.6,21.6
35,2.0,20,2.6,21.7
35,2.0,20,2.6,21.8
35,2.0,20,2.6,21.9
35,2.0,20,2.6,22.0
35,2.0,20,2.6,22.1
35,2.0,20,2.6,22.2
35,2.0,20,2.6,22.3
35,2.0,20,2.6,22.4
35,2.0,20,2.6,22.5
35,2.0,20,2.6,22.6
35,2.0,20,2.6,22.7
35,2.0,20,2.6,22.8
35,2.0,20,2.6,22.9
35,2.0,20,2.6,23.0
35,2.0,20,2.6,23.1
35,2.0,20,2.6,23.2
35,2.0,20,2.6,23.3
35,2.0,20,2.6,23.4
35,2.0,20,2.6,23.5
35,2.0,20,2.6,23.6
35,2.0,20,2.6,23.7
35,2.0,20,2.6,23.8
35,2.0,20,2.6,23.9
35,2.0,20,2.6,24.0
35,2.0,20,2.6,24.1
35,2.0,20,2.6,24.2
35,2.0,20,2.6,24.3
35,2.0,20,2.6,24.4
35,2.0,20,2.6,24.5
35,2.0,20,2.6,24.6
35,2.0,20,2.6,24.7
35,2.0,20,2.6,24.8
35,2.0,20,2.6,24.9
35,2.0,20,2.6,25.0
35,2.0,20,2.6,25.1
35,2.0,20,2.6,25.2
35,2.0,20,2.6,25.3
35,2.0,20,2.6,25.4
35,2.0,20,2.6,25.5
35,2.0,20,2.6,25.6
35,2.0,20,2.6,25.7
35,2.0,20,2.6,25.8
35,2.0,20,2.6,25.9
35,2.0,20,2.6,26.0
35,2.0,20,2.6,26.1
35,2.0,20,2.6,26.2
35,2.0,20,2.6,26.3
35,2.0,20,2.6,26.4
35,2.0,20,2.6,26.5
35,2.0,20,2.6,26.6
35,2.0,20,2.6,26.7
35,2.0,20,2.6,26.8
35,2.0,20,2.6,26.9
35,2.0,20,2.6,27.0
35,2.0,20,2.6,27.1
35,2.0,20,2.6,27.2
35,2.0,20,2.6,27.3
35,2.0,20,2.6,27.4
35,2.0,20,2.6,27.5
35,2.0,20,2.6,27.6
35,2.0,20,2.6,27.7
35,2.0,20,2.6,27.8
35,2.0,20,2.6,27.9
35,2.0,20,2.6,28.0
35,2.0,20,2.6,28.1
35,2.0,20,2.6,28.2
35,2.0,20,2.6,28.3
35,2.0,20,2.6,28.4
35,2.0,20,2.6,28.5
35,2.0,20,2.6,28.6
35,2.0,20,2.6,28.7
35,2.0,20,2.6,28.8
35,2.0,20,2.6,28.9
35,2.0,20,2.6,29.0
35,2.0,20,2.6,29.1
35,2.0,20,2.6,29.2
35,2.0,20,2.6,29.3
35,2.0,20,2.6,29.4
35,2.0,20,2.6,29.5
35,2.0,20,2.6,29.6
35,2.0,20,2.6,29.7
35,2.0,20,2.6,29.8
35,2.0,20,2.6,29.9
35,2.0,20,2.6,30.0
35,2.0,20,2.6,30.1
35,2.0,20,2.6,30.2
35,2.0,20,2.6,30.3
35,2.0,20,2.6,30.4
35,2.0,20,2.6,30.5
35,2.0,20,2.6,30.6
35,2.0,20,2.6,30.7
35,2.0,20,2.6,30.8
35,2.0,20,2.6,30.9
35,2.0,20,2.6,31.0
30,2.0,20,2.4,1.0
30,2.0,20,2.4,1.1
30,2.0,20,2.4,1.2
30,2.0,20,2.4,1.3
30,2.0,20,2.4,1.4
30,2.0,20,2.4,1.5
30,2.0,20,2.4,1.6
30,2.0,20,2.4,1.7
30,2.0,20,2.4,1.8
30,2.0,20,2.4,1.9
30,2.0,20,2.4,2.0
30,2.0,20,2.4,2.1
30,2.0,20,2.4,2.2
30,2.0,20,2.4,2.3
30,2.0,20,2.4,2.4
30,2.0,20,2.4,2.5
30,2.0,20,2.4,2.6
30,2.0,20,2.4,2.7
30,2.0,20,2.4,2.8
30,2.0,20,2.4,2.9
30,2.0,20,2.4,3.0
30,2.0,20,2.4,3.1
30,2.0,20,2.4,3.2
30,2.0,20,2.4,3.3
30,2.0,20,2.4,3.4
30,2.0,20,2.4,3.5
30,2.0,20,2.4,3.6
30,2.0,20,2.4,3.7
30,2.0,20,2.4,3.8
30,2.0,20,2.4,3.9
30,2.0,20,2.4,4.0
30,2.0,20,2.4,4.1
30,2.0,20,2.4,4.2
30,2.0,20,2.4,4.3
30,2.0,20,2.4,4.4
30,2.0,20,2.4,4.5
30,2.0,20,2.4,4.6
30,2.0,20,2.4,4.7
30,2.0,20,2.4,4.8
30,2.0,20,2.4,4.9
30,2.0,20,2.4,5.0
30,2.0,20,2.4,5.1
30,2.0,20,2.4,5.2
30,2.0,20,2.4,5.3
30,2.0,20,2.4,5.4
30,2.0,20,2.4,5.5
30,2.0,20,2.4,5.6
30,2.0,20,2.4,5.7
30,2.0,20,2.4,5.8
30,2.0,20,2.4,5.9
30,2.0,20,2.4,6.0
30,2.0,20,2.4,6.1
