R,r,A,a,constant,equil_time,cd_hat_cd_bar
40.0,2.0,20.0,2.8,3.0,16.0,1.2357979410364484
40.0,2.0,20.0,2.8,0.4,8.0,1.0100049966390285
40.0,2.0,20.0,2.8,3.1,38.0,1.2416409752352138
40.0,2.0,20.0,2.8,3.2,14.0,1.2656693147310658
40.0,2.0,20.0,2.8,3.3,11.0,1.2714731711345355
40.0,2.0,20.0,2.8,3.4,10.0,1.2771228391727283
40.0,2.0,20.0,2.8,3.5,13.0,1.309522862717512
40.0,2.0,20.0,2.8,3.6,12.0,1.3149684846638752
40.0,2.0,20.0,2.8,3.7,13.0,1.3204559652547572
40.0,2.0,20.0,2.8,3.8,16.0,1.3258817509424254
40.0,2.0,20.0,2.8,3.9,19.0,1.3460921498596783
40.0,2.0,20.0,2.8,4.0,29.0,1.3515251994364277
40.0,2.0,20.0,2.8,0.5,7.0,1.0043348484026233
40.0,2.0,20.0,2.8,4.1,50.0,1.3562245171851435
40.0,2.0,20.0,2.8,4.2,6.0,1.3591802863158025
40.0,2.0,20.0,2.8,4.3,5.0,1.3382014290928763
40.0,2.0,20.0,2.8,4.4,7.0,1.3708705728660529
40.0,2.0,20.0,2.8,4.5,24.0,1.403856773567752
40.0,2.0,20.0,2.8,4.6,7.0,1.4088493320454485
40.0,2.0,20.0,2.8,4.7,6.0,1.4132504870127325
40.0,2.0,20.0,2.8,4.8,9.0,1.3871485738255394
40.0,2.0,20.0,2.8,4.9,6.0,1.3914657796216938
40.0,2.0,20.0,2.8,5.0,8.0,1.3950273434939962
40.0,2.0,20.0,2.8,0.6,11.0,1.0009994355402214
40.0,2.0,20.0,2.8,5.1,9.0,1.3987980006909024
40.0,2.0,20.0,2.8,5.2,7.0,1.422670851587693
40.0,2.0,20.0,2.8,5.3,8.0,1.4270726947838779
40.0,2.0,20.0,2.8,5.4,14.0,1.4303026587530296
40.0,2.0,20.0,2.8,5.5,10.0,1.433923023528917
40.0,2.0,20.0,2.8,5.6,8.0,1.4377436039766736
40.0,2.0,20.0,2.8,5.7,9.0,1.4405168104648691
40.0,2.0,20.0,2.8,5.8,7.0,1.4440821495193548
40.0,2.0,20.0,2.8,5.9,7.0,1.4473571956522648
40.0,2.0,20.0,2.8,6.0,8.0,1.4503241961134703
40.0,2.0,20.0,2.8,0.7,14.0,1.0032720358957863
40.0,2.0,20.0,2.8,6.1,15.0,1.5009297384486213
40.0,2.0,20.0,2.8,6.2,20.0,1.5043398299694883
40.0,2.0,20.0,2.8,6.3,7.0,1.545243284297561
40.0,2.0,20.0,2.8,6.4,8.0,1.5135057094327835
40.0,2.0,20.0,2.8,6.5,10.0,1.5168226574035772
40.0,2.0,20.0,2.8,6.6,15.0,1.6076847013788973
40.0,2.0,20.0,2.8,6.7,12.0,1.6111873061877982
40.0,2.0,20.0,2.8,6.8,13.0,1.6155943490649567
40.0,2.0,20.0,2.8,6.9,13.0,1.695081796164784
40.0,2.0,20.0,2.8,7.0,15.0,1.6999377709457308
40.0,2.0,20.0,2.8,0.8,36.0,0.9929018537366537
35.0,2.0,20.0,2.6,0.2,14.0,1.0311127080506968
35.0,2.0,20.0,2.6,0.3,44.0,1.0178158209024446
35.0,2.0,20.0,2.6,0.4,18.0,1.009340641217705
35.0,2.0,20.0,2.6,0.5,40.0,1.0035388455592653
35.0,2.0,20.0,2.6,0.6,48.0,1.003999647413167
35.0,2.0,20.0,2.6,0.7,48.0,1.0035370913963073
35.0,2.0,20.0,2.6,0.8,31.0,1.0009041852549136
35.0,2.0,20.0,2.6,0.9,10.0,0.9960396804245892
35.0,2.0,20.0,2.6,1.0,13.0,1.0135063982283912
35.0,2.0,20.0,2.6,1.1,22.0,1.089118856953572
40.0,2.0,20.0,2.8,0.9,9.0,0.9974321222114882
35.0,2.0,20.0,2.6,1.2,52.0,1.0655249243902754
35.0,2.0,20.0,2.6,1.3,25.0,1.0840447313288326
35.0,2.0,20.0,2.6,1.4,14.0,1.0921224727660535
35.0,2.0,20.0,2.6,1.5,9.0,1.0801623662123458
35.0,2.0,20.0,2.6,1.6,8.0,1.0898843383786092
35.0,2.0,20.0,2.6,1.7,23.0,1.0988143606448426
35.0,2.0,20.0,2.6,1.8,8.0,1.1077067356281685
35.0,2.0,20.0,2.6,1.9,8.0,1.1103045153423474
35.0,2.0,20.0,2.6,2.0,8.0,1.1178783460719683
35.0,2.0,20.0,2.6,2.1,8.0,1.1250443800015797
40.0,2.0,20.0,2.8,1.0,13.0,1.0128095925574423
35.0,2.0,20.0,2.6,2.2,24.0,1.1313812378839283
35.0,2.0,20.0,2.6,2.3,10.0,1.1505215536143827
35.0,2.0,20.0,2.6,2.4,9.0,1.157168426686849
35.0,2.0,20.0,2.6,2.5,18.0,1.1631427064312236
35.0,2.0,20.0,2.6,2.6,10.0,1.169239091785259
35.0,2.0,20.0,2.6,2.7,18.0,1.1746566494683255
35.0,2.0,20.0,2.6,2.8,12.0,1.2182462732329022
35.0,2.0,20.0,2.6,2.9,14.0,1.2122443362420527
35.0,2.0,20.0,2.6,3.0,13.0,1.217820395506731
35.0,2.0,20.0,2.6,3.1,37.0,1.2229097447067228
