R,r,A,a,constant,equil_time,cd_hat_cd_bar,cd_hat,cd_bar
40.0,2.0,20.0,2.8,5.9,7.0,1.4473571956522648,30.16629666401921,20.842330251741686
40.0,2.0,20.0,2.8,6.0,8.0,1.4503241961134703,30.667306701798722,21.145138986152155
40.0,2.0,20.0,2.8,0.7,14.0,1.0032720358957863,7.4706737409202875,7.446309150090071
40.0,2.0,20.0,2.8,6.1,15.0,1.5009297384486213,30.847051899435968,20.55196263305426
40.0,2.0,20.0,2.8,6.2,20.0,1.5043398299694883,31.341399021065868,20.833988701676233
40.0,2.0,20.0,2.8,6.3,7.0,1.545243284297561,31.231618091430914,20.21145693289858
40.0,2.0,20.0,2.8,6.4,8.0,1.5135057094327835,32.080710301135895,21.19629288558071
40.0,2.0,20.0,2.8,6.5,10.0,1.5168226574035772,32.57453084925487,21.475503870053178
40.0,2.0,20.0,2.8,6.6,15.0,1.6076847013788973,32.646129569685606,20.306301068664336
40.0,2.0,20.0,2.8,6.7,12.0,1.6111873061877982,33.13175702169238,20.563566318111608
40.0,2.0,20.0,2.8,6.8,13.0,1.6155943490649567,33.61763117835279,20.808212901839727
40.0,2.0,20.0,2.8,6.9,13.0,1.695081796164784,33.71064720478179,19.887327727224722
40.0,2.0,20.0,2.8,7.0,15.0,1.6999377709457308,34.19561298518788,20.115802807395557
40.0,2.0,20.0,2.8,0.8,36.0,0.9929018537366537,7.4830504805118805,7.5365459862426665
40.0,2.0,20.0,2.8,0.9,9.0,0.9974321222114882,7.6782509251010875,7.698018495812036
40.0,2.0,20.0,2.8,1.0,13.0,1.0128095925574423,8.015461137665987,7.914084934193969
