v,re,s,ra,a_s
1.2,1.4,2.8,0.8,0.15796305999356247
1.2,2.0,3.4,0.8,0.14444505111326325
1.2,0.4,2.4,0.4,0.18580984825569824
1.0,0.2,4.0,0.6,0.10112046432866044
1.2,1.6,3.6,2.0,0.14692905818132831
1.2,1.8,2.0,1.0,0.149665788155419
1.2,1.8,3.2,2.0,0.14247783003004785
1.2,0.8,4.0,0.4,0.17445324922606256
1.4,1.2,3.8,0.8,0.19929016300506566
1.0,0.2,1.2,1.2,0.10172839452708596
1.2,0.4,2.0,1.0,0.18276039610694966
1.2,1.4,1.8,1.0,0.1580115499086878
1.2,1.8,2.0,1.2,0.10989401904477424
1.0,1.2,1.6,0.2,0.10010447131872728
1.0,0.2,3.4,1.4,0.10079605907188594
1.2,0.2,3.6,0.2,0.19051499875816266
1.2,1.0,2.6,0.2,0.18580470711376001
1.2,0.2,1.0,0.4,0.1890707726250216
1.4,1.6,2.8,1.0,0.1904111050893157
1.4,1.6,1.8,1.6,0.14160796699877276
1.2,1.6,1.0,0.4,0.17999944050683134
1.2,0.8,2.2,1.6,0.16953830130709335
1.2,0.2,3.0,2.0,0.1878281740235359
1.4,1.8,4.0,1.4,0.18240337853142505
1.2,1.6,3.8,0.6,0.15535663408035028
1.2,0.8,3.4,0.8,0.17083885347530248
1.2,1.2,1.8,1.2,0.16107588299110698
1.2,1.4,2.0,0.8,0.1596193240580942
1.2,1.8,1.0,2.0,0.15191073390865384
1.2,1.2,1.4,1.6,0.161523209608565
1.2,1.4,3.2,1.0,0.11709403085567052
1.4,1.6,3.0,1.0,0.1903434791639008
1.2,1.0,2.0,0.8,0.16842511021979295
1.2,0.4,4.0,0.2,0.18674356502538655
1.2,0.4,3.2,1.2,0.18203045051736405
1.2,0.8,1.6,1.4,0.1693350711382215
1.2,1.8,3.4,1.2,0.10845833222805072
1.2,1.8,4.0,1.4,0.10522193381849657
1.2,1.4,3.2,0.4,0.1619693208379075
1.2,1.4,1.4,0.6,0.16275434238159492
1.2,1.4,1.0,0.6,0.17326227533005964
1.2,2.0,2.4,1.0,0.10663179922812756
1.2,0.8,2.0,0.4,0.1805861274410611
1.4,1.8,2.4,1.2,0.18669655625332274
1.4,1.2,2.6,1.4,0.19710507806425984
1.4,2.0,3.8,0.8,0.1844366819929164
1.4,2.0,2.4,1.8,0.18014651004956944
1.2,2.0,1.0,0.6,0.1658779900744997
1.2,1.8,3.4,2.0,0.1420747336833101
1.2,0.2,3.8,1.2,0.18808777683128194
1.2,2.0,3.4,1.0,0.10557335043879172
1.2,1.2,1.6,2.0,0.1590346830229035
1.2,0.4,2.4,1.0,0.18249293337808334
1.2,0.4,3.0,0.6,0.18386387068048607
1.2,1.8,2.8,2.0,0.14306816260647204
1.2,2.0,3.4,0.6,0.14725969648457013
1.2,1.8,3.2,1.6,0.14276368012986712
1.2,0.6,1.8,0.4,0.1847373798438305
1.2,0.4,1.8,1.0,0.1830514829623673
1.2,1.6,2.8,1.8,0.14722459700726706
1.2,1.6,2.4,0.2,0.18298761919055015
1.2,0.8,1.2,1.8,0.17398279979780715
1.4,1.6,3.6,1.2,0.1893724489060175
1.2,1.4,2.2,1.8,0.11563451197181962
1.2,1.8,2.0,1.4,0.10989084210837344
1.2,1.0,3.2,0.4,0.1704335557261993
1.2,1.2,3.2,1.8,0.15598354703361567
1.2,0.6,3.6,0.2,0.18410588669300773
1.2,2.0,1.4,1.4,0.14375640681419724
1.2,1.0,1.2,1.4,0.16453695101924098
1.2,0.8,3.4,0.8,0.17083885347530248
1.2,0.6,2.0,1.6,0.17604776710487635
1.4,1.2,3.4,1.0,0.19794874036266968
1.4,1.4,2.0,1.0,0.2447799313471329
1.4,1.6,3.2,0.8,0.2397084058267347
1.4,1.4,1.2,0.4,0.26633867053574856
1.4,0.2,1.2,2.0,0.2757444105748758
1.4,0.2,1.4,1.8,0.2757494526839272
1.4,0.4,1.8,0.8,0.2719032316962565
1.4,0.6,1.8,0.6,0.26667578501662803
1.4,1.0,2.4,1.2,0.25143057381904355
1.4,0.6,3.6,1.6,0.2616658470092175
1.4,0.8,1.2,0.8,0.2624123379100327
1.4,1.2,2.0,1.2,0.2458533243720793
1.4,1.0,2.8,0.4,0.25804200737507205
1.4,0.6,3.0,1.2,0.2625448973034261
1.4,1.8,2.2,0.8,0.2386140053474513
1.4,0.8,2.2,1.6,0.2566948787165876
1.4,0.8,2.0,1.2,0.2555442155173953
1.4,1.2,2.0,1.0,0.2486649477509426
1.8,1.4,2.4,1.4,0.2795716196501401
1.4,0.4,1.6,1.6,0.2690417810743545
1.4,0.2,3.8,1.8,0.2746066518712203
1.4,0.8,3.0,0.8,0.2585091115525361
1.6,1.8,1.8,1.6,0.20601408082029596
1.4,1.8,4.0,0.2,0.2682497559922442
1.6,2.0,2.2,1.4,0.20191642756799266
1.4,1.8,2.0,0.4,0.2547436115858672
1.8,1.6,3.6,1.2,0.27654207308055495
1.4,1.4,3.4,2.0,0.2388471397737023
1.4,1.6,1.2,0.8,0.2448093082482558
1.4,0.8,3.0,0.6,0.2602742098801988
1.4,1.4,1.4,1.8,0.2435284940263689
1.4,1.8,1.4,1.2,0.2334744119979808
1.4,0.8,2.0,1.8,0.2567467861201805
1.4,1.2,3.6,0.6,0.2506032191888644
1.4,1.8,1.2,1.8,0.23893829147251003
1.6,1.4,3.8,1.2,0.2117495522433553
1.4,2.0,2.0,0.4,0.2519897006634633
1.4,0.2,3.6,1.4,0.2751821567102861
1.4,0.8,3.4,2.0,0.25481874251576825
1.4,1.0,3.0,0.4,0.25765075729097525
1.4,2.0,1.4,1.4,0.2343048257842134
1.4,2.0,1.6,0.4,0.256889683445459
1.8,2.0,4.0,1.0,0.27144189601470703
1.4,1.0,2.0,1.6,0.2510617042719295
1.4,1.8,2.0,0.8,0.2390661905723009
1.4,1.6,3.8,1.8,0.23339653795188434
1.4,1.2,1.0,2.0,0.2512508681055057
1.4,1.8,2.6,2.0,0.2297779410043145
1.4,0.2,1.2,1.2,0.27684783755943954
1.4,1.8,1.8,0.6,0.2401280927639361
1.4,0.8,2.2,1.2,0.2564837588305325
1.4,0.8,3.0,1.8,0.2546822748401422
1.4,1.8,3.0,0.4,0.2428381201248005
1.4,1.2,3.6,0.4,0.2523082034829781
1.4,1.0,2.4,1.4,0.2508897912323749
1.4,1.4,2.0,0.4,0.2598401919339069
1.4,0.4,1.6,2.0,0.2694049988633335
1.4,1.0,3.2,2.0,0.24885365952039745
1.4,2.0,3.2,1.8,0.22457128035128002
1.4,1.8,1.6,0.4,0.2594094359079883
1.4,1.6,2.8,0.2,0.2701813042708152
1.4,0.4,3.2,0.2,0.2761012500437793
1.4,1.4,3.4,0.8,0.2439292998471016
1.4,0.4,2.4,0.2,0.2792672457583729
1.6,1.8,1.8,1.6,0.20601408082029596
1.4,1.6,1.2,2.0,0.2406648324946298
1.4,1.4,3.8,1.6,0.23692280384487116
1.4,2.0,1.8,1.0,0.2335057362375975
1.4,2.0,1.8,0.8,0.2354886504228424
1.4,1.8,3.6,0.2,0.26854843042796217
1.4,0.6,4.0,1.0,0.2624662369346157
1.4,1.0,1.4,1.8,0.2539270501398165
1.4,1.0,3.8,1.6,0.2478600140075944
1.4,0.8,3.8,0.8,0.2571723000415615
1.4,0.8,3.4,1.2,0.25664072806816474
1.8,1.8,2.2,1.6,0.2740126519838222
1.4,0.8,4.0,0.8,0.2568435176061448
1.4,0.6,1.4,1.6,0.26252885419790795
1.4,2.0,1.8,0.8,0.2354886504228424
1.4,1.0,4.0,0.2,0.2738309008006167
