v,re,s,ra,c_d
1.0,0.2,2.8,0.4,0.08104053948374122
1.0,0.2,2.8,0.6,0.15758177916612776
1.0,0.2,2.8,0.8,0.23629498964695667
1.0,0.2,2.8,1.0,0.31235161083560714
1.0,0.2,2.8,1.2,0.38402095795386704
1.0,0.2,2.8,1.4,0.4522820392523942
1.0,0.2,2.8,1.6,0.5172552194879596
1.0,0.2,2.8,1.8,0.5788309866969994
1.0,0.2,2.8,2.0,0.6366831889251159
1.0,0.2,3.0,0.2,0.02719901651191247
1.0,0.2,3.0,0.4,0.08529722418650117
1.0,0.2,3.0,0.6,0.16529970886145545
1.0,0.2,3.0,0.8,0.2467706741367242
1.0,0.2,3.0,1.0,0.3251963419084653
1.0,0.2,3.0,1.2,0.3988374328639324
1.0,0.2,3.0,1.4,0.4699646802615467
1.0,0.2,3.0,1.6,0.5373702102952935
1.0,0.2,3.0,1.8,0.6006239939179845
1.0,0.2,3.0,2.0,0.6606903092407671
1.0,0.2,3.2,0.2,0.028402379745913874
1.0,0.2,3.2,0.4,0.08943214956267409
1.0,0.2,3.2,0.6,0.17248966599400378
1.0,0.2,3.2,0.8,0.2564880611677761
1.0,0.2,3.2,1.0,0.33728018915078056
1.0,0.2,3.2,1.2,0.4137051127749355
1.0,0.2,3.2,1.4,0.4867372928988498
1.0,0.2,3.2,1.6,0.5558912104427867
1.0,0.2,3.2,1.8,0.6213815472236515
1.0,0.2,3.2,2.0,0.6833090439867079
1.0,0.2,3.4,0.2,0.030117614245519595
1.0,0.2,3.4,0.4,0.0934172062630937
1.0,0.2,3.4,0.6,0.17973244023810467
1.0,0.2,3.4,0.8,0.2660988012340441
1.0,0.2,3.4,1.0,0.3486817925719238
1.0,0.2,3.4,1.2,0.4269202061655202
1.0,0.2,3.4,1.4,0.5023048332781119
1.0,0.2,3.4,1.6,0.5734405809783156
1.0,0.2,3.4,1.8,0.640647775564108
1.0,0.2,3.4,2.0,0.7048752282337315
1.0,0.2,3.6,0.2,0.031744431788642974
1.0,0.2,3.6,0.4,0.09733139459180369
1.0,0.2,3.6,0.6,0.18630523901086946
1.0,0.2,3.6,0.8,0.27483005318209086
1.0,0.2,3.6,1.0,0.35950559565056106
1.0,0.2,3.6,1.2,0.4402504489022546
1.0,0.2,3.6,1.4,0.5170633891484797
