v,re,s,ra,c_d
1.4,0.2,2.8,0.8,0.22252198861100644
3.0,0.8,1.8,1.2,0.2802572199628652
2.0,1.0,1.4,1.2,0.2624304434550921
2.8,1.4,3.8,0.8,0.2950908147881183
1.0,2.0,1.8,0.8,0.2009538983531048
2.4,1.0,2.2,1.0,0.2814394103243684
2.0,0.4,1.0,1.6,0.2362364733066265
3.0,0.4,1.0,1.8,0.2205018203080648
2.2,1.8,3.8,0.6,0.2077767605926644
1.0,0.4,2.6,0.8,0.2396398833837172
2.2,1.8,3.8,0.8,0.29344733817352026
1.6,2.0,3.0,0.8,0.2685565094002913
1.8,0.6,3.0,0.8,0.25193931133271125
1.6,1.0,2.0,0.8,0.2036184309806687
1.6,0.4,1.0,1.8,0.28807947253269106
1.0,0.2,2.6,0.8,0.2253372618394011
1.8,0.2,2.6,1.0,0.2623292781957981
2.6,0.8,1.0,1.8,0.2891997918390854
1.2,0.2,3.8,0.8,0.2749674167611685
1.2,1.0,3.4,0.8,0.29615218647367564
2.2,0.6,1.2,1.2,0.20904274648238946
2.4,1.4,2.6,0.8,0.2394362276943031
3.0,0.4,1.2,1.4,0.2064132526514582
2.0,1.6,3.4,0.8,0.2896578687888133
2.4,0.6,2.2,1.0,0.2617006503709807
2.0,1.6,1.8,1.0,0.26419635944986825
1.0,1.4,4.0,0.6,0.22167574390306385
2.0,1.2,1.0,1.6,0.28644526725879604
2.0,1.8,2.6,0.8,0.2517293336866858
2.0,0.2,1.4,1.6,0.2650957293952572
3.0,2.0,1.8,1.0,0.2526857414691564
1.2,1.2,3.6,0.6,0.2050012647378979
2.2,0.8,2.0,1.0,0.2602061565562707
3.0,0.8,1.0,1.8,0.2774518955880965
2.2,1.2,2.0,1.0,0.273641498741662
2.0,0.2,3.0,1.0,0.2786175304543471
1.4,1.6,1.2,1.2,0.2479238841997775
1.8,0.2,2.6,1.0,0.2623292781957981
1.2,2.0,2.6,0.8,0.2614073713803331
1.6,0.8,3.2,0.8,0.2731098941419905
1.8,1.8,2.4,0.8,0.2404534353239673
3.0,0.2,1.2,1.8,0.21018481096699201
1.0,0.2,2.6,0.8,0.2253372618394011
2.4,1.8,1.6,1.0,0.237869497547427
1.6,0.4,2.8,0.8,0.2362273843724241
1.2,1.8,3.0,0.8,0.2845264950610044
2.6,2.0,2.0,0.8,0.2003230030733583
1.2,0.2,4.0,0.8,0.2827305202518434
1.4,0.6,2.6,0.8,0.2384384837959744
