v,re,s,ra,a_s
-0.0,-0.0,0.7,0.9,0.1007620607855418
-0.0,-0.0,0.7,1.0,0.10060304011936216
-0.0,-0.0,0.8,-0.0,0.10284643634460452
-0.0,-0.0,0.8,0.1,0.1024362067569251
-0.0,-0.0,0.8,0.2,0.1012418314530426
-0.0,-0.0,0.8,0.3,0.10091713657226584
-0.0,-0.0,0.8,0.4,0.10077984299341104
-0.0,-0.0,0.8,0.6,0.10073693613500284
-0.0,-0.0,0.8,0.7,0.10079605907188594
-0.0,-0.0,0.8,0.8,0.1007831523432449
-0.0,-0.0,0.8,0.9,0.10075642219409156
-0.0,-0.0,0.8,1.0,0.10050296160921586
-0.0,-0.0,0.9,-0.0,0.10283338074773488
-0.0,-0.0,0.9,0.1,0.10269106718013266
-0.0,-0.0,0.9,0.2,0.10114533560673704
-0.0,-0.0,0.9,0.3,0.10083607920245194
-0.0,-0.0,0.9,0.4,0.10072967012872497
-0.0,-0.0,0.9,0.6,0.10083421449258033
-0.0,-0.0,0.9,0.7,0.10077605933986848
-0.0,-0.0,0.9,0.8,0.10072452131221044
-0.0,-0.0,0.9,0.9,0.100646907394954
-0.0,-0.0,0.9,1.0,0.1005298328297084
-0.0,-0.0,0.9,-0.0,0.10272987359358482
-0.0,-0.0,0.9,0.1,0.10255454871251106
-0.0,-0.0,0.9,0.2,0.10109617980915486
-0.0,-0.0,0.9,0.3,0.1007458817250172
-0.0,-0.0,0.9,0.4,0.10073978512144613
-0.0,-0.0,0.9,0.6,0.10075489177062293
-0.0,-0.0,0.9,0.7,0.1007363851110602
-0.0,-0.0,0.9,0.8,0.10063254606543152
-0.0,-0.0,0.9,0.9,0.1006259128546509
-0.0,-0.0,0.9,1.0,0.10041327459522192
-0.0,-0.0,1.0,-0.0,0.10285628711822124
-0.0,-0.0,1.0,0.1,0.10256586333639416
-0.0,-0.0,1.0,0.2,0.10112046432866044
-0.0,-0.0,1.0,0.3,0.10073755179782758
-0.0,-0.0,1.0,0.4,0.10075358639738866
-0.0,-0.0,1.0,0.6,0.10075012335135186
-0.0,-0.0,1.0,0.7,0.10079895391884997
-0.0,-0.0,1.0,0.8,0.10067066076281883
-0.0,-0.0,1.0,0.9,0.10050238717772328
-0.0,-0.0,1.0,1.0,0.10038330650869001
-0.0,0.1,-0.0,-0.0,0.1064951982616249
-0.0,0.1,-0.0,0.1,0.10010356569947304
-0.0,0.1,-0.0,0.2,0.1005364212643392
-0.0,0.1,-0.0,0.3,0.09765335383470104
-0.0,0.1,-0.0,0.4,0.09808375922207624
-0.0,0.1,-0.0,0.6,0.09741591235693894
-0.0,0.1,-0.0,0.7,0.09648363246961776
-0.0,0.1,-0.0,0.8,0.09571116956501596
-0.0,0.1,-0.0,0.9,0.09541409213532567
-0.0,0.1,-0.0,1.0,0.09543917761149932
-0.0,0.1,0.1,-0.0,0.10592409026266764
-0.0,0.1,0.1,0.1,0.0990909179883702
-0.0,0.1,0.1,0.2,0.09858218979345357
-0.0,0.1,0.1,0.3,0.09774666973661987
-0.0,0.1,0.1,0.4,0.09722362073663404
-0.0,0.1,0.1,0.6,0.09639865101905308
-0.0,0.1,0.1,0.7,0.0956165088807152
-0.0,0.1,0.1,0.8,0.0952471621752108
-0.0,0.1,0.1,0.9,0.09521940656005826
-0.0,0.1,0.1,1.0,0.09514629813749714
-0.0,0.1,0.1,-0.0,0.10530544461429127
-0.0,0.1,0.1,0.1,0.10066146186196878
-0.0,0.1,0.1,0.2,0.09767922124684472
-0.0,0.1,0.1,0.3,0.09757671077401732
-0.0,0.1,0.1,0.4,0.09669491864608247
-0.0,0.1,0.1,0.6,0.0957020895634179
-0.0,0.1,0.1,0.7,0.09525279461335416
-0.0,0.1,0.1,0.8,0.09509978307457803
-0.0,0.1,0.1,0.9,0.09515973237110296
-0.0,0.1,0.1,1.0,0.09523107038344596
-0.0,0.1,0.2,-0.0,0.10451263118586304
-0.0,0.1,0.2,0.1,0.10062470419406204
-0.0,0.1,0.2,0.2,0.09767847143736323
-0.0,0.1,0.2,0.3,0.09704139749584764
-0.0,0.1,0.2,0.4,0.09593991041864908
-0.0,0.1,0.2,0.6,0.09534486215478807
-0.0,0.1,0.2,0.7,0.09528118745006953
-0.0,0.1,0.2,0.8,0.0950476892337271
-0.0,0.1,0.2,0.9,0.09513288152963847
-0.0,0.1,0.2,1.0,0.09511793089797764
-0.0,0.1,0.3,-0.0,0.10446833901170008
-0.0,0.1,0.3,0.1,0.10031736240657957
-0.0,0.1,0.3,0.2,0.0975830079637682
-0.0,0.1,0.3,0.3,0.0966714176756782
-0.0,0.1,0.3,0.4,0.09561486967910003
-0.0,0.1,0.3,0.6,0.09523284483680773
-0.0,0.1,0.3,0.7,0.09510734106020816
-0.0,0.1,0.3,0.8,0.0951211829507514
-0.0,0.1,0.3,0.9,0.09497019442449786
-0.0,0.1,0.3,1.0,0.09484048002086964
-0.0,0.1,0.3,-0.0,0.10401354604474077
-0.0,0.1,0.3,0.1,0.10015074464017557
