v,re,s,ra,c_d
3.0,1.8,1.8,1.0,0.2492163290340385
2.6,2.0,4.0,0.8,0.2930562103102912
2.4,1.0,1.6,1.2,0.2820464109661784
1.8,1.6,1.0,1.4,0.2534203104489601
2.4,0.4,2.0,1.2,0.2868224111841153
1.8,1.4,3.6,0.8,0.28506278996954104
2.4,2.0,2.2,0.8,0.21958012929889206
2.0,1.2,3.2,0.8,0.2752877051627953
3.0,0.8,2.8,0.8,0.2253237907900968
2.4,0.6,1.0,1.8,0.2802105056972448
2.0,1.8,2.0,1.0,0.2896444111481195
1.8,1.4,3.8,0.8,0.2939140202641733
2.0,0.2,3.4,0.8,0.23107996938079586
2.4,1.8,2.2,0.8,0.21752263313818085
1.6,0.8,3.8,0.6,0.202374746562036
2.4,1.8,4.0,0.8,0.29798403970589715
1.2,1.4,3.8,0.6,0.2133464955583971
1.0,1.4,1.6,1.0,0.2508012337861256
3.0,0.6,2.2,1.0,0.2448743711010064
1.8,0.4,1.4,1.2,0.2341270450373853
2.0,1.6,1.2,1.2,0.2414441097945669
2.2,0.2,2.0,1.2,0.2505471749862987
1.2,0.6,3.8,0.6,0.20317880592867574
2.8,0.8,1.8,1.2,0.28557612924854336
2.2,0.8,2.4,0.8,0.2178510315062022
2.0,0.8,2.8,0.8,0.24436211941375305
1.6,1.0,1.8,1.0,0.25710048745854364
2.8,1.2,1.4,1.2,0.2504668194922771
1.6,0.8,2.2,1.0,0.29038896872617465
1.0,1.4,2.2,0.8,0.2314745942294665
2.8,1.6,2.4,0.8,0.22457289016425885
2.4,1.2,3.6,0.8,0.28774342746366605
2.4,1.4,2.6,0.8,0.2394362276943031
1.0,1.4,3.2,0.8,0.2947269272749197
1.8,1.8,2.0,0.8,0.2100451816131401
2.2,1.6,1.4,1.2,0.2742528172161505
2.8,0.4,2.0,1.0,0.21646134836117115
2.4,0.8,2.2,0.8,0.20124927333527476
2.0,0.6,1.2,1.2,0.2126061476117267
1.2,2.0,3.8,0.6,0.21621280493176448
1.6,0.8,1.0,1.4,0.23664996656248244
1.8,1.2,2.2,0.8,0.21947035434414366
2.4,0.8,3.0,0.8,0.24766223424905645
1.4,2.0,1.6,1.0,0.25022709240679425
2.4,1.4,2.2,0.8,0.21421851142092047
2.2,0.4,1.0,1.8,0.26254176029490595
1.6,1.0,2.2,0.8,0.2185214120051822
1.0,0.6,1.2,1.2,0.23698427394912
1.8,1.6,1.0,1.2,0.20113799339415195
3.0,0.2,3.2,1.0,0.2457040850394274
1.8,0.2,3.4,0.8,0.2375552178081683
2.0,2.0,1.4,1.2,0.2823826036502021
2.6,1.4,2.4,0.8,0.22554716744301484
2.0,0.6,1.0,1.8,0.2944233521031746
1.2,0.2,1.2,1.4,0.2389558453758735
2.6,1.4,3.0,0.8,0.26078102326141045
2.2,0.4,2.0,1.2,0.29441538364514114
2.0,1.2,1.4,1.2,0.26826564463888497
2.2,1.8,2.4,0.8,0.2360960156642043
1.8,0.8,1.8,1.0,0.2479709343607077
2.2,0.6,2.2,1.0,0.26671070554898185
1.0,0.8,2.4,0.8,0.2381615526818704
2.2,0.8,1.8,1.0,0.2398321938592762
1.6,0.8,1.4,1.2,0.2630736088392123
2.0,1.6,3.2,0.8,0.2828349918133765
3.0,0.6,1.6,1.4,0.28743892491306866
2.8,1.2,2.2,1.0,0.2798609112692609
2.2,1.4,2.8,0.8,0.25316746834775605
1.4,1.0,2.8,0.8,0.2600944384329137
1.4,0.8,1.0,1.4,0.240694148286568
1.8,1.4,1.6,1.0,0.238760028821401
2.4,0.8,3.2,0.8,0.25745286603233786
1.6,1.2,4.0,0.6,0.21420924626573112
3.0,1.0,1.8,1.2,0.29165652630383004
1.0,0.4,1.4,1.0,0.20389176630650735
3.0,1.0,2.6,0.8,0.2226395004421083
2.8,1.8,2.6,0.8,0.2398648260303899
2.6,1.6,2.0,1.0,0.2755322276641529
3.0,0.8,3.0,0.8,0.2345854816797663
2.0,0.4,3.2,0.8,0.2457251249489553
1.4,0.4,2.2,0.8,0.2049411066724523
1.0,0.2,1.4,1.2,0.2382603414251697
1.6,2.0,3.6,0.8,0.2994817589621245
2.2,1.2,2.0,1.0,0.273641498741662
1.0,0.4,1.6,1.2,0.2908950340463303
1.4,0.6,3.2,0.8,0.2707609128328957
2.6,1.6,1.8,1.0,0.2543944978332867
1.0,1.8,1.2,1.2,0.2561062540966769
1.4,1.0,2.4,0.8,0.2354000866432902
2.6,0.8,1.0,2.0,0.325258898402833
1.8,1.2,1.0,2.0,0.3825173845027297
1.6,0.2,1.8,1.8,0.3900058554522533
2.2,1.6,2.8,1.2,0.38270709798976976
1.2,1.8,2.8,1.0,0.356102229344604
2.8,1.4,3.0,1.0,0.3473194446707677
2.0,1.0,2.6,1.0,0.3241719674621363
2.8,1.8,2.4,1.2,0.3799019893575453
2.2,2.0,3.2,1.0,0.3409995983865061
1.4,0.6,1.4,1.4,0.3182033861214451
3.0,1.2,3.4,1.0,0.3583875792575586
2.8,1.0,3.0,1.0,0.3282421447201638
2.6,1.0,1.2,1.8,0.3594266986476901
2.2,1.2,2.4,1.0,0.3094350161395213
1.4,1.6,1.0,1.8,0.35788808664946026
1.6,0.8,2.4,1.2,0.39086561763906624
2.6,0.8,1.6,1.6,0.37676375413695024
2.4,1.0,3.0,1.0,0.3396441404646223
1.2,0.4,1.0,1.8,0.3078160689650585
1.6,1.8,3.6,1.0,0.39878112755701095
1.0,1.4,2.0,1.2,0.3772890319497818
1.0,2.0,3.0,1.0,0.3800269895150575
2.2,0.8,1.8,1.2,0.3039042596602546
2.6,1.6,4.0,0.8,0.3080583107701538
2.6,0.4,2.6,1.2,0.3341810331990804
2.2,1.4,3.6,1.0,0.3707138326776389
2.0,0.6,1.2,1.8,0.34787009403643543
2.2,0.6,4.0,1.0,0.3829141281347565
2.6,0.8,2.0,1.4,0.3779956683921702
1.8,1.8,2.6,1.2,0.3914520288497469
2.0,1.6,1.8,1.2,0.33649945539728804
2.0,2.0,1.2,1.4,0.3036780627744345
2.6,1.0,1.2,1.6,0.3122671913987776
2.0,1.2,3.6,1.0,0.3941233625083208
1.2,0.4,2.6,1.2,0.3951349017590503
1.6,1.6,1.0,2.0,0.3999019424359032
2.0,1.0,1.6,1.4,0.35395919014871113
3.0,1.6,1.2,1.8,0.3706234142006207
2.4,0.6,1.6,1.4,0.31403671584302273
2.8,2.0,1.2,1.6,0.335176544020865
2.4,0.4,1.4,2.0,0.379880347047105
1.0,1.0,1.0,1.6,0.3061020204602
2.2,1.2,1.0,2.0,0.3674143957177892
1.6,0.2,1.6,1.8,0.3580601804614841
1.2,0.2,2.8,1.2,0.3709252402611452
1.0,1.6,4.0,0.8,0.3358976808905721
2.4,1.6,4.0,0.8,0.30884700682683963
2.6,1.8,1.4,1.6,0.3822434828593975
2.6,0.4,4.0,1.0,0.34664113612778363
2.4,0.6,2.8,1.0,0.30797007894325545
1.4,1.8,1.6,1.4,0.3494380575476351
2.8,1.2,2.0,1.4,0.39654417764809297
1.8,1.6,1.6,1.2,0.3122212561707156
1.4,1.6,1.0,1.8,0.35788808664946026
1.4,1.8,1.2,1.4,0.3117526907154315
3.0,2.0,2.6,1.0,0.3218428071407929
2.0,1.8,1.0,2.0,0.3919838826078501
1.4,0.2,1.4,2.0,0.3711477824946858
1.6,1.0,1.2,1.6,0.3428029527183236
2.2,1.8,1.4,1.6,0.3945456134957349
2.6,1.8,1.8,1.2,0.3289525529006904
1.0,1.6,1.6,1.2,0.3243356311070276
2.2,1.2,1.0,2.0,0.3674143957177892
2.2,0.4,1.8,1.6,0.3794121299121263
1.6,1.6,1.0,1.8,0.3533328265941449
1.6,1.4,2.4,1.0,0.32354536000847495
2.2,0.2,3.2,1.2,0.3415093566658209
1.2,1.6,1.0,1.6,0.3145409062938989
1.4,1.0,4.0,0.8,0.3193032730422873
2.0,1.0,1.8,1.4,0.3838689019336
2.4,0.8,1.2,1.8,0.35191574976625145
2.2,1.0,1.2,1.6,0.323684650718593
2.0,0.6,2.0,1.2,0.3219809040503897
2.6,1.4,2.4,1.0,0.30728241162052644
1.8,2.0,2.6,1.0,0.3282695637992515
2.4,1.4,2.2,1.2,0.3694994684045769
1.2,1.0,1.4,1.4,0.3429182899004339
2.0,1.4,2.4,1.0,0.31807706644383865
2.6,0.8,2.4,1.2,0.3539604011570173
2.0,0.8,2.0,1.2,0.33408553124337914
1.6,0.6,1.2,1.6,0.3223189918676573
2.4,2.0,2.2,1.2,0.3753174789470513
1.6,0.2,1.6,1.6,0.3203956340837707
3.0,0.8,2.0,1.2,0.30243327673306225
1.6,1.2,1.6,1.4,0.3720164670072048
3.0,0.2,2.2,1.6,0.3115023997883381
3.0,0.2,3.2,1.2,0.3007335641227365
2.2,1.2,3.2,1.0,0.3678319551912919
2.8,2.0,1.8,1.2,0.32125723478984464
2.4,0.8,3.0,1.0,0.3331606002077249
2.6,1.0,3.0,1.0,0.3347585022317939
2.8,0.4,4.0,1.0,0.33498439927193424
3.0,1.0,2.6,1.2,0.3729369484086789
1.2,0.2,3.6,1.0,0.34817087333792546
1.6,1.6,1.2,1.4,0.30407275396629746
3.0,1.2,1.6,1.6,0.38915362063750464
1.2,1.0,1.2,1.6,0.35565879558515034
2.6,1.6,2.8,1.2,0.3928019764700729
1.2,0.4,1.2,1.8,0.36417156120806987
1.4,1.4,2.8,1.0,0.3413695634851815
3.0,0.8,3.2,1.4,0.4819212225117665
2.0,0.4,3.2,1.2,0.40620588386579015
2.2,0.2,3.4,1.4,0.4127267945474764
2.6,0.6,1.6,1.8,0.4043864240153842
1.6,1.0,1.4,1.8,0.4439611357091925
1.0,1.0,1.2,2.0,0.4750724317505561
2.0,0.2,2.2,2.0,0.4536386047788473
1.0,1.2,2.2,1.4,0.4605807430054863
2.8,0.4,2.8,1.6,0.4675737523176222
2.0,0.6,1.8,1.6,0.41864441900173416
1.6,0.4,1.8,1.8,0.4662705628749852
1.0,1.6,3.0,1.2,0.4581708471507631
2.8,1.2,2.2,1.4,0.42166646701784455
2.2,1.8,3.8,1.2,0.4893259349901634
1.2,1.4,1.0,2.0,0.4079035201050514
2.6,1.0,2.0,1.6,0.4550985160813972
3.0,0.2,4.0,1.6,0.4547047683947483
1.0,0.2,3.6,1.2,0.4402504489022546
3.0,1.8,3.2,1.4,0.4980740627985459
1.0,1.6,2.4,1.4,0.4983831016525962
2.8,1.4,3.6,1.2,0.4412109616027392
1.4,1.2,1.4,1.8,0.4599177480227283
2.4,1.2,4.0,1.0,0.4096605777154976
2.2,0.8,1.4,2.0,0.4563983611336981
3.0,0.2,2.6,2.0,0.42659323668709387
1.0,0.4,3.8,1.2,0.4974534636690604
1.0,0.4,1.2,2.0,0.4229901080423297
2.8,2.0,4.0,1.2,0.4639983958887484
1.6,0.8,3.4,1.2,0.4740004764977474
1.2,1.4,3.6,1.0,0.4028981294864266
2.6,0.2,3.6,1.4,0.40254761248152543
2.2,0.2,2.4,2.0,0.4621239165514486
2.0,0.4,1.4,2.0,0.4054932461530195
1.0,0.8,1.8,1.6,0.4820496224542532
1.4,1.0,2.4,1.2,0.4025565809033565
1.0,0.4,3.0,1.2,0.4398301899864269
1.8,1.4,1.8,1.6,0.4708218337511242
1.8,0.8,3.6,1.2,0.4803244823128712
1.8,0.2,3.0,1.4,0.4088353093529287
2.6,0.6,2.4,1.4,0.4049842524208276
1.2,1.6,1.2,2.0,0.480816072519733
2.2,1.6,1.4,1.8,0.4478490573893774
1.2,0.4,2.2,1.6,0.4954823365767096
1.4,0.8,2.0,1.4,0.4276891606208254
1.4,1.8,1.2,2.0,0.4481123580084175
1.6,2.0,2.0,1.6,0.4832435759338968
2.4,0.2,2.4,1.8,0.4092509704854249
2.8,1.4,1.4,1.8,0.4200012166060986
2.2,0.4,2.6,1.6,0.4807425403963065
2.6,1.2,4.0,1.0,0.4030764115401863
2.4,1.0,1.2,2.0,0.4116427923010303
2.4,0.4,3.2,1.4,0.4602202873099144
3.0,0.2,3.0,1.8,0.4270927885664942
3.0,2.0,2.6,1.4,0.4773993849448781
1.8,1.0,4.0,1.0,0.4150734724460585
1.6,0.6,3.2,1.2,0.4446784914348855
2.8,2.0,3.2,1.2,0.4577963196278027
3.0,1.0,4.0,1.2,0.4740914045580744
3.0,0.6,4.0,1.2,0.4402052940444151
1.4,1.4,3.2,1.2,0.44391301731214494
1.0,2.0,3.8,1.0,0.4318419476038341
2.4,0.8,2.2,1.4,0.4108951084077154
2.6,0.6,3.6,1.2,0.4336355802662158
1.6,1.4,1.2,2.0,0.4607841700468726
1.2,0.4,2.8,1.2,0.4120273342549117
3.0,0.2,3.8,1.8,0.491464496925994
1.6,1.0,1.6,1.8,0.4896102747218072
3.0,0.8,3.2,1.4,0.4819212225117665
1.4,1.2,1.4,1.6,0.4012922914940045
2.2,1.0,3.8,1.2,0.4916447039672901
1.0,0.2,2.2,1.6,0.4492486274465069
