v,re,s,ra,a_s
1.0,1.4,2.2,1.2,0.040642628009620235
1.0,2.0,3.4,0.2,0.09387586297544304
1.0,1.6,1.2,0.4,0.09042551032847662
1.0,1.4,3.2,1.2,0.010488304855624195
1.0,1.4,2.4,1.8,0.03870299819127899
1.0,0.6,1.8,0.4,0.09753243610717753
1.0,1.2,1.8,0.6,0.07855720497788371
1.0,0.4,1.4,1.2,0.09570208956341794
1.0,0.4,3.0,1.0,0.09492584934823416
1.0,1.4,1.8,0.2,0.0919637417150128
1.0,2.0,3.2,1.2,0.028012910703941917
1.0,1.4,3.6,2.0,0.06562418872620904
1.0,1.8,3.0,1.2,0.003203101490726697
1.0,1.4,3.0,1.6,0.03810224721099475
1.0,0.6,2.4,0.2,0.09969622104905204
1.0,1.6,1.0,0.8,0.07128460767942668
1.0,0.8,1.6,2.0,0.08351981796097135
1.0,0.8,2.0,0.2,0.09999836686108418
1.0,1.0,3.8,0.6,0.08093147616246024
1.0,1.2,1.0,1.2,0.0775645715290034
1.0,1.2,2.4,0.6,0.07818534027727479
1.0,0.4,4.0,1.4,0.09479637266170833
1.0,1.0,3.0,2.0,0.0765482643403229
1.0,1.8,2.6,0.4,0.06941549306303674
1.0,1.8,2.4,1.4,0.03278908294497785
1.0,0.8,2.8,0.6,0.08651798812494425
1.0,1.4,4.0,1.4,0.0373043204327513
1.0,0.8,3.0,1.6,0.08240925824165235
1.0,2.0,1.8,0.4,0.08066899605802166
1.0,1.4,1.8,0.2,0.0919637417150128
1.2,1.8,1.8,1.8,0.07084586628022567
1.0,0.6,1.2,0.8,0.09270191658263344
1.0,1.8,2.4,0.6,0.06494358054247239
1.0,0.6,2.4,1.4,0.08945361725077862
1.0,1.8,4.0,1.6,0.05499845118154738
1.0,2.0,1.2,1.6,0.028622471401744082
1.0,1.4,1.6,1.6,0.04054511240376877
1.0,1.8,1.8,0.2,0.0961727153846119
1.0,2.0,1.4,0.8,0.0616410169565871
1.2,1.8,1.4,0.6,0.15530937275468415
1.2,1.0,2.6,0.8,0.16732487540830926
1.0,0.2,1.6,1.6,0.10092638084514292
1.2,1.6,3.4,0.8,0.15254706609899849
1.4,1.4,2.6,1.2,0.1942352931787583
1.2,2.0,3.2,1.6,0.1380552644968084
1.2,0.6,3.2,1.8,0.17482216235132167
1.2,1.0,2.4,1.0,0.1656273975306199
1.2,0.2,2.2,0.6,0.18989383810451546
1.2,0.2,3.2,1.4,0.18807601456937376
1.2,1.4,2.4,1.0,0.15640098443935066
1.2,1.4,2.2,1.8,0.11563451197181965
1.2,1.8,4.0,1.2,0.10792361235362218
1.2,1.4,1.0,1.0,0.16159281477396964
1.2,0.6,1.6,1.6,0.1759076706589747
1.2,1.8,3.4,1.6,0.14261045629166086
1.2,2.0,3.8,2.0,0.13691500704641965
1.2,0.4,4.0,0.4,0.18466925999293585
1.2,0.6,2.8,1.0,0.17595182315292188
1.2,0.6,3.8,0.2,0.1851964509837366
1.0,0.6,1.0,0.2,0.10727830855057292
1.4,1.8,3.8,0.8,0.18783240137895596
1.2,0.8,2.6,1.4,0.1702262537986883
1.2,1.0,1.8,1.8,0.16451656418150595
1.2,0.2,1.6,2.0,0.18824694232465133
1.2,0.2,4.0,0.8,0.1880801212834624
1.2,2.0,1.8,0.4,0.16712441043958262
1.2,1.4,1.8,0.6,0.1616678440370996
1.2,0.8,3.8,0.2,0.1863647116225179
1.0,0.2,3.4,1.0,0.10077984299341107
1.0,0.2,2.8,1.0,0.10086618288367293
1.2,0.6,2.0,2.0,0.17604258165270173
1.2,0.4,4.0,1.4,0.18201289785700192
1.2,0.2,1.6,2.0,0.18824694232465133
1.2,1.2,1.8,1.4,0.15868967539823806
1.2,1.4,3.4,1.6,0.11416360179247592
1.2,0.4,3.8,1.4,0.18201129117960535
1.2,1.4,2.6,1.8,0.11543563590465107
1.2,0.4,3.6,1.2,0.1817803172435428
1.2,1.6,2.0,1.0,0.1536295008521526
1.0,0.2,3.0,0.6,0.10139666789051688
1.2,1.8,2.4,0.8,0.15089403979229318
1.2,1.6,1.2,1.4,0.15443619335658335
1.2,1.8,2.0,0.2,0.1841686417529705
1.2,0.8,3.4,1.2,0.16963431122837688
1.4,1.6,3.8,1.2,0.18912605095395335
1.2,0.6,2.4,0.4,0.18129772685864626
1.2,1.4,3.8,1.2,0.11616777306518568
1.2,1.2,2.6,1.6,0.12022216715960338
1.2,1.0,1.8,2.0,0.16428046045604275
1.2,0.2,3.4,1.8,0.18789311095374173
1.0,0.2,2.4,0.6,0.10176222066996392
